# Define los sets 
set NODES := 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27;
set DEPOTS := 1, 2, 3, 4, 5;
set CLIENTS := 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27;
set VEHICLES := 1 .. 5;


# Luego los parámetros que dependen de los sets
param Q_CAPACITY := 2500; # Capacidad máxima por vehículo (el valor 2500 del archivo bruto)


# Coordenadas X e Y para todos los nodos
# (Primeros 5 son depósitos, siguientes 22 son clientes)
param coord_x :=
  1 4033   2 4121   3 3953   4 3993   5 4525
  6 3873   7 3915   8 3928   9 4145  10 4163
 11 4170  12 3926  13 3926  14 3983  15 3965
 16 3966  17 4266  18 4263  19 4242  20 4211
 21 4234  22 4233  23 4376  24 4348  25 4364
 26 4551  27 4329;

param coord_y :=
  1 1316   2 1250   3 1207   4 1054   5 926
  6 1165   7 1225   8 1274   9 1176  10 1214
 11 1206  12 1274  13 1275  14 1167  15 1169
 16 1150  17 1261  18 1259  19 1226  20 1249
 21 1120  22 1121  23 1358  24 1327  25 1276
 26 1240  27 876;


# Demandas de los clientes
# (Corresponden a los 22 clientes, nodos 6 al 27)
param demand :=
   6 550   7 810   8 210   9 210  10 350
  11 200  12 350  13 200  14 310  15 500
  16 430  17 300  18 250  19 250  20 300
  21 290  22 350  23 500  24 120  25 150
  26 410  27 250;
